lat,lon,queried_at_utc,wind_speed_100m_ms,wind_direction_100m,expected_power_kw,in_operating_range
52.35,5.35,2026-06-18T21:00,6.2,11,698.5839356500206,True
52.35,5.55,2026-06-18T21:00,6.8,358,931.9742656266429,True
52.35,5.75,2026-06-18T21:00,5.3,5,421.0997163374372,True
52.35,5.95,2026-06-18T21:00,6.6,0,850.6394442456975,True
52.35,6.15,2026-06-18T21:00,7.1,346,1060.3684937973385,True
52.35,6.35,2026-06-18T21:00,4.0,2,141.00085797934884,True
52.35,6.55,2026-06-18T21:00,4.9,26,322.10040251426153,True
52.35,6.75,2026-06-18T21:00,3.1,102,73.88567213786914,True
52.35,6.95,2026-06-18T21:00,2.5,79,0.0,False
52.35,7.15,2026-06-18T21:00,2.7,63,0.0,False
52.55,3.35,2026-06-18T21:00,6.3,184,735.713301618422,True
52.55,3.55,2026-06-18T21:00,5.4,185,446.7301031305082,True
52.55,3.75,2026-06-18T21:00,6.7,178,891.3068549361705,True
52.55,3.95,2026-06-18T21:00,6.5,187,809.972033555225,True
52.55,4.15,2026-06-18T21:00,5.3,197,421.0997163374372,True
52.55,4.35,2026-06-18T21:00,3.0,198,70.67961285477969,True
52.55,4.55,2026-06-18T21:00,2.4,235,0.0,False
52.55,4.75,2026-06-18T21:00,1.6,320,0.0,False
52.55,4.95,2026-06-18T21:00,2.7,32,0.0,False
52.55,5.15,2026-06-18T21:00,4.2,45,178.06763028297286,True
52.55,5.35,2026-06-18T21:00,5.5,32,472.360489923579,True
52.55,5.55,2026-06-18T21:00,4.7,9,277.8840956263351,True
52.55,5.75,2026-06-18T21:00,5.7,353,533.1463754394345,True
52.55,5.95,2026-06-18T21:00,6.8,0,931.9742656266429,True
52.55,6.15,2026-06-18T21:00,7.6,328,1297.819749655131,True
52.55,6.35,2026-06-18T21:00,5.1,357,369.8389427512954,True
52.55,6.55,2026-06-18T21:00,4.4,18,215.13440258659685,True
52.55,6.75,2026-06-18T21:00,2.3,93,0.0,False
52.55,6.95,2026-06-18T21:00,3.2,105,77.09173142095858,True
52.55,7.15,2026-06-18T21:00,3.4,85,83.50384998713747,True
52.75,3.35,2026-06-18T21:00,7.2,187,1107.4279005870892,True
52.75,3.55,2026-06-18T21:00,7.0,185,1013.3090870075883,True
52.75,3.75,2026-06-18T21:00,5.9,177,593.93226095529,True
52.75,3.95,2026-06-18T21:00,5.3,182,421.0997163374372,True
52.75,4.15,2026-06-18T21:00,4.8,177,299.99224907029827,True
52.75,4.35,2026-06-18T21:00,4.9,169,322.10040251426153,True
52.75,4.55,2026-06-18T21:00,2.5,183,0.0,False
52.75,4.75,2026-06-18T21:00,0.5,215,0.0,False
52.75,4.95,2026-06-18T21:00,2.0,289,0.0,False
52.75,5.15,2026-06-18T21:00,2.3,34,0.0,False
52.75,5.35,2026-06-18T21:00,3.1,29,73.88567213786914,True
52.75,5.55,2026-06-18T21:00,5.1,14,369.8389427512954,True
52.75,5.75,2026-06-18T21:00,4.7,354,277.8840956263351,True
52.75,5.95,2026-06-18T21:00,4.6,339,255.77594218237186,True
52.75,6.15,2026-06-18T21:00,5.9,317,593.93226095529,True
52.75,6.35,2026-06-18T21:00,5.5,341,472.360489923579,True
52.75,6.55,2026-06-18T21:00,2.4,20,0.0,False
52.75,6.75,2026-06-18T21:00,3.3,23,80.29779070404803,True
52.75,6.95,2026-06-18T21:00,0.6,73,0.0,False
52.75,7.15,2026-06-18T21:00,1.3,92,0.0,False
52.95,3.35,2026-06-18T21:00,8.5,186,1730.9442322125449,True
52.95,3.55,2026-06-18T21:00,7.2,191,1107.4279005870892,True
52.95,3.75,2026-06-18T21:00,6.3,181,735.713301618422,True
52.95,3.95,2026-06-18T21:00,6.2,185,698.5839356500206,True
