lat,lon,queried_at_utc,wind_speed_100m_ms,wind_direction_100m
52.35,4.95,2026-06-18T21:00,1.9,11
52.35,5.15,2026-06-18T21:00,4.6,27
52.35,5.35,2026-06-18T21:00,6.2,11
52.35,5.55,2026-06-18T21:00,6.8,358
52.35,5.75,2026-06-18T21:00,5.3,5
52.35,5.95,2026-06-18T21:00,6.6,0
52.35,6.15,2026-06-18T21:00,7.1,346
52.35,6.35,2026-06-18T21:00,4.0,2
52.35,6.55,2026-06-18T21:00,4.9,26
52.35,6.75,2026-06-18T21:00,3.1,102
52.35,6.95,2026-06-18T21:00,2.5,79
52.35,7.15,2026-06-18T21:00,2.7,63
52.55,3.35,2026-06-18T21:00,6.3,184
52.55,3.55,2026-06-18T21:00,5.4,185
52.55,3.75,2026-06-18T21:00,6.7,178
52.55,3.95,2026-06-18T21:00,6.5,187
52.55,4.15,2026-06-18T21:00,5.3,197
52.55,4.35,2026-06-18T21:00,3.0,198
52.55,4.55,2026-06-18T21:00,2.4,235
52.55,4.75,2026-06-18T21:00,1.6,320
52.55,4.95,2026-06-18T21:00,2.7,32
52.55,5.15,2026-06-18T21:00,4.2,45
52.55,5.35,2026-06-18T21:00,5.5,32
52.55,5.55,2026-06-18T21:00,4.7,9
52.55,5.75,2026-06-18T21:00,5.7,353
52.55,5.95,2026-06-18T21:00,6.8,0
52.55,6.15,2026-06-18T21:00,7.6,328
52.55,6.35,2026-06-18T21:00,5.1,357
52.55,6.55,2026-06-18T21:00,4.4,18
52.55,6.75,2026-06-18T21:00,2.3,93
52.55,6.95,2026-06-18T21:00,3.2,105
52.55,7.15,2026-06-18T21:00,3.4,85
52.75,3.35,2026-06-18T21:00,7.2,187
52.75,3.55,2026-06-18T21:00,7.0,185
52.75,3.75,2026-06-18T21:00,5.9,177
52.75,3.95,2026-06-18T21:00,5.3,182
52.75,4.15,2026-06-18T21:00,4.8,177
52.75,4.35,2026-06-18T21:00,4.9,169
52.75,4.55,2026-06-18T21:00,2.5,183
52.75,4.75,2026-06-18T21:00,0.5,215
52.75,4.95,2026-06-18T21:00,2.0,289
52.75,5.15,2026-06-18T21:00,2.3,34
52.75,5.35,2026-06-18T21:00,3.1,29
52.75,5.55,2026-06-18T21:00,5.1,14
52.75,5.75,2026-06-18T21:00,4.7,354
52.75,5.95,2026-06-18T21:00,4.6,339
52.75,6.15,2026-06-18T21:00,5.9,317
52.75,6.35,2026-06-18T21:00,5.5,341
52.75,6.55,2026-06-18T21:00,2.4,20
52.75,6.75,2026-06-18T21:00,3.3,23
52.75,6.95,2026-06-18T21:00,0.6,73
52.75,7.15,2026-06-18T21:00,1.3,92
52.95,3.35,2026-06-18T21:00,8.5,186
52.95,3.55,2026-06-18T21:00,7.2,191
52.95,3.75,2026-06-18T21:00,6.3,181
52.95,3.95,2026-06-18T21:00,6.2,185
52.95,4.15,2026-06-18T21:00,5.3,188
52.95,4.35,2026-06-18T21:00,4.2,183
52.95,4.55,2026-06-18T21:00,3.8,195
52.95,4.75,2026-06-18T21:00,2.9,227
52.95,4.95,2026-06-18T21:00,2.4,164
52.95,5.15,2026-06-18T21:00,2.3,193
52.95,5.35,2026-06-18T21:00,1.7,291
52.95,5.55,2026-06-18T21:00,3.3,317
52.95,5.75,2026-06-18T21:00,4.0,345
52.95,5.95,2026-06-18T21:00,3.3,323
52.95,6.15,2026-06-18T21:00,2.2,308
52.95,6.35,2026-06-18T21:00,3.1,340
52.95,6.55,2026-06-18T21:00,2.4,15
52.95,6.75,2026-06-18T21:00,2.7,47
52.95,6.95,2026-06-18T21:00,2.4,25
52.95,7.15,2026-06-18T21:00,6.5,81
53.15,3.35,2026-06-18T21:00,10.7,184
53.15,3.55,2026-06-18T21:00,10.3,188
53.15,3.75,2026-06-18T21:00,9.5,189
53.15,3.95,2026-06-18T21:00,9.0,194
53.15,4.15,2026-06-18T21:00,8.7,187
53.15,4.35,2026-06-18T21:00,7.6,189
53.15,4.55,2026-06-18T21:00,6.0,197
53.15,4.75,2026-06-18T21:00,4.8,214
53.15,4.95,2026-06-18T21:00,3.8,234
53.15,5.15,2026-06-18T21:00,2.5,223
53.15,5.35,2026-06-18T21:00,3.7,201
53.15,5.55,2026-06-18T21:00,4.5,245
53.15,5.75,2026-06-18T21:00,4.1,278
53.15,5.95,2026-06-18T21:00,2.5,300
53.15,6.15,2026-06-18T21:00,1.5,89
53.15,6.35,2026-06-18T21:00,0.9,102
53.15,6.55,2026-06-18T21:00,2.3,45
53.15,6.75,2026-06-18T21:00,6.6,95
53.15,6.95,2026-06-18T21:00,6.1,88
53.15,7.15,2026-06-18T21:00,5.9,83
53.35,3.35,2026-06-18T21:00,10.7,198
53.35,3.55,2026-06-18T21:00,11.2,198
53.35,3.75,2026-06-18T21:00,12.3,192
53.35,3.95,2026-06-18T21:00,12.0,191
53.35,4.15,2026-06-18T21:00,10.1,193
53.35,4.35,2026-06-18T21:00,8.0,192
53.35,4.55,2026-06-18T21:00,8.5,199
53.35,4.75,2026-06-18T21:00,6.3,205
53.35,4.95,2026-06-18T21:00,6.6,194
53.35,5.15,2026-06-18T21:00,5.9,177
53.35,5.35,2026-06-18T21:00,5.9,183
53.35,5.55,2026-06-18T21:00,7.2,220
53.35,5.75,2026-06-18T21:00,4.5,227
53.35,5.95,2026-06-18T21:00,0.3,119
53.35,6.15,2026-06-18T21:00,3.6,113
53.35,6.35,2026-06-18T21:00,3.6,131
53.35,6.55,2026-06-18T21:00,5.4,113
53.35,6.75,2026-06-18T21:00,7.4,108
53.35,6.95,2026-06-18T21:00,7.1,102
53.35,7.15,2026-06-18T21:00,6.0,93
53.55,3.35,2026-06-18T21:00,9.8,213
53.55,3.55,2026-06-18T21:00,9.6,217
53.55,3.75,2026-06-18T21:00,8.1,209
53.55,3.95,2026-06-18T21:00,8.5,200
53.55,4.15,2026-06-18T21:00,8.9,190
53.55,4.35,2026-06-18T21:00,9.8,190
53.55,4.55,2026-06-18T21:00,8.6,201
53.55,4.75,2026-06-18T21:00,9.8,208
53.55,4.95,2026-06-18T21:00,8.1,203
53.55,5.15,2026-06-18T21:00,6.3,206
53.55,5.35,2026-06-18T21:00,5.7,197
53.55,5.55,2026-06-18T21:00,6.0,192
53.55,5.75,2026-06-18T21:00,5.8,186
53.55,5.95,2026-06-18T21:00,3.6,146
53.55,6.15,2026-06-18T21:00,2.8,102
53.55,6.35,2026-06-18T21:00,6.3,118
53.55,6.55,2026-06-18T21:00,6.6,117
53.55,6.75,2026-06-18T21:00,6.3,117
53.55,6.95,2026-06-18T21:00,7.4,117
53.55,7.15,2026-06-18T21:00,6.2,111
